Force_N,Avg_mean
0.0,891.16
98.1,2304.35
196.2,69858.14
294.3,104621.07
392.4,165852.78
490.5,183919.96
588.6,258450.03
686.7,289162.55
784.8,325534.73
882.9,344226.65
981.0,426150.32
