Index,DeviceTime_ms,Step_ms,V1,V2,V3,V4
162,623893,-30,282859,582693,92354,140852
163,623967,74,282828,583402,92239,140902
164,623924,-43,282788,581256,92132,140865
165,623895,-29,282826,578345,92241,140785
166,623962,67,282854,573808,92252,140869
167,623888,-74,282900,565945,92210,140872
168,623905,17,282799,558833,92253,140863
169,623950,45,282770,551733,92255,140878
170,623911,-39,282868,543380,92216,140889
171,623905,-6,282990,534939,92229,141029
172,623950,45,282876,523784,92264,141012
173,623906,-44,282764,508351,92233,140918
174,623976,70,282903,489117,92127,140865
175,624007,31,282910,465528,92227,140918
176,623952,-55,282988,437114,92305,140991
177,623911,-41,283004,372684,92214,140931
178,623964,53,282994,339992,92506,141054
179,623976,12,282953,308039,93396,141140
180,623978,2,282952,278859,95259,141137
181,624070,92,282987,257757,101624,141174
182,624006,-64,283015,246106,115055,141220
183,623981,-25,283003,242094,132106,141199
184,623958,-23,282906,241824,152327,141034
185,623968,10,282857,241894,173472,141025
186,623941,-27,282868,241893,191244,141082
187,623995,54,282869,241954,207284,141098
188,623955,-40,282759,241945,225387,141024
189,623966,11,282709,241905,244258,140991
190,623970,4,282845,241930,265789,141071
191,623999,29,282820,241965,288869,141039
192,623997,-2,282655,241902,309664,140931
193,623980,-17,282706,241811,328157,140891
194,624008,28,282750,241892,343466,140911
195,623982,-26,282697,241942,356031,140843
196,623999,17,282475,241944,366547,140897
197,624007,8,282548,241785,370082,140868
198,623971,-36,282558,241776,367365,140912
199,624006,35,282616,241842,364042,140919
200,623962,-44,282617,241869,364341,140939
201,624020,58,282595,241894,366052,140870
202,623991,-29,282630,241893,366497,140906
203,623991,0,282630,241925,366395,141055
204,624053,62,282640,241779,367346,140804
205,623968,-85,282597,241804,364320,140916
206,624014,46,282681,241900,361355,140991
207,624051,37,282606,241941,360963,140861
208,623986,-65,282588,241854,362344,140815
209,624026,40,282684,241852,362261,140946
210,623968,-58,282635,241878,360608,140967
211,623989,21,282623,241970,358378,140947
212,623902,-87,282567,241869,355715,140906
213,623980,78,282661,241800,352310,140998
214,623968,-12,282824,241849,350031,140876
215,624023,55,282576,241881,348747,140878
